id	Nom du cépage	Cépage	Régions	Sous-régions	Superficie en France (ha)	Superficie mondiale (ha)	Pourcentage	Mono-cépage remarquable	Appellation remarquable	Remarques,,,,,
1	Aligoté	Blanc	Bourgogne,Jura,Savoie		2 000	23 000	8,70%			Kir,,
24	Cabernet Franc	Noir	Bordelais,Val-de-Loire	Anjou,Tourraine	33 000	48 000	68,75%,,
2	Bourboulenc	Blanc					#DIV/0!,,,,,
3	Chardonnay	Blanc	Bourgogne,Champagne,Alsace,Jura,Val-de-Loire	Anjou	50 600	150 000	33,73%			Fait partie des trois cépages participant à la création du Champagne
4	Chasselas	Blanc			1 100	35 000	3,14%		Pouilly-sur-Loire,Alsace,Crépy,Vin-de-Savoie	Cépage majoritaire en Suisse sous le nom de Frémant,
5	Chenin	Blanc	Val-de-Loire	Anjou,Touraine	9 900		#DIV/0!,,,,
6	Clairette	Blanc	Languedoc-Roussillon,Provence,Rhone			3 600	0,00%			Clairette de Die (vin pétillant composé de Muscat Blanc à 75%),,
7	Folle Blanche	Blanc			1 100		#DIV/0!,,,,,
8	Gewurztraminer	Blanc	Alsace		3 400	8 000	42,50%,,,,
9	Marsanne	Blanc	Rhône,Languedoc-Roussillon,Provence	Languedoc			#DIV/0!			Va bien avec le Roussanne,,,
10	Mauzac	Blanc	Languedoc-Roussillon	Tarn,Aude	1 700	2 600	65,38%,,,
11	Melon de Bourgogne	Blanc	Val-de-Loire		9 700	28 000	34,64%,,,,
12	Muscadelle	Blanc	Bordelais,Sud-Ouest			5 000	0,00%,,,
13	Muscat blanc	Blanc	Languedoc-Roussillon,Provence	Hérault	7 900	87 000	9,08%,,,
14	Muscat d'Alexandrie	Blanc			2 700		#DIV/0!,,,,,
15	Roussanne	Blanc	Rhône,Savoie			1 500	0,00%			Va bien avec le Marsanne,,,
16	Riesling	Blanc	Alsace		4 000	60 000	6,67%,,,,
17	Sauvignon	Blanc	Bordelais,Sud-Ouest,Val-de-Loire		29 900	50 000	59,80%,,
18	Savagnin	Blanc	Jura				#DIV/0!,,,,,
19	Sémillon	Blanc	Sud-Ouest,Bordelais		10 800	28 000	38,57%,,,
20	Sylvaner	Blanc	Alsace		1 100	12 000	9,17%,,,,
21	Ugni Blanc	Blanc	Bordelais,Languedoc-Roussillon,Corse,Charentes,Provence		82 200		#DIV/0!,
22	Vermentino	Blanc	Provence,Corse,Languedoc-Roussillon		5 400	7 500	72,00%,,
23	Viognier	Blanc	Rhône		6 400	4 000	160,00%,,,,
25	Cabernet Sauvignon	Noir	Bordelais,Provence,Val-de-Loire		48 100	260 000	18,50%,,
26	Carignan	Noir	Languedoc-Roussillon,Provence,Corse	Languedoc	32 700	120 000	27,25%,,
27	Cinsault	Noir	Languedoc-Roussillon,Rhône	Languedoc	18 200	43 000	42,33%			Fait partie des 13 cépages autorisés dans le Chateauneuf-du-pape,,,
28	Cot (Malbec)	Noir	Sud-Ouest,Bordeaux,Val-de-Loire		6 800	41 000	16,59%,,
29	Duras	Noir					#DIV/0!,,,,,
30	Fer Servadou	Noir			1 600		#DIV/0!,,,,,
31	Gamay	Noir	Bourgogne,Beaujolais,Val-de-Loire,Sud-Ouest		25 700		#DIV/0!			Quasiment tout le vignoble Beaujolais est recouvert par ce cépage,,
32	Grenache Noir	Noir	Rhône,Provence,Languedoc-Roussillon		81 100	245 000	33,10%,,
33	Merlot	Noir	Bordelais,Languedoc-Roussiloon		112 200	220 000	51,00%,,,
34	Mondeuse	Noir	Savoie,Jura		300	300	100,00%,,,
35	Mourvèdre	Noir	Provence,Rhône		9 200	87 000	10,57%,,,
36	Négrette	Noir	Languedoc-Roussillon	Tarn	1 100		#DIV/0!,,,,,
37	Nielluccio	Noir	Corse		1 800		#DIV/0!,,,,,
38	Pinot Noir	Noir	Bourgogne,Champagne,Alsace,Loire		32 300	63 000	51,27%			Fait partie des trois cépages participant à la création du Champagne,
39	Syrah	Noir	Rhône,Languedoc		64 000	50 000	128,00%,,,
40	Tannat	Noir			2 900		#DIV/0!,,,,,
41	Pinot Meunier 	Gris			10 700		#DIV/0!,,,,,
42	Pinot Gris	Gris			2 900		#DIV/0!			Fait partie des trois cépages participant à la création du Champagne,,,,,
Gros Manseng				3 400		#DIV/0!,,,,,
Grnache blanc				5 500		#DIV/0!,,,,,
Colombard				9 800		#DIV/0!,,,,,
Muscat de Hambourf				2 900		#DIV/0!,,,,,
Alicanté				2 800		#DIV/0!,,,,,
Auxerrois				2 500		#DIV/0!,,,,,
Grolleau				2 100		#DIV/0!,,,,,
Macabeu				1 800		#DIV/0!,,,,,
Grenqche gris 				1 500		#DIV/0!,,,,,
Petit Manseng				1 300		#DIV/0!,,,,,
Pinot Blanc				1 200		#DIV/0!,,,,,
