id	Nom du cépage	Cépage	Régions	Vignobles	Sous-régions	Superficie en France (ha)	Superficie mondiale (ha)	Pourcentage	Mono-cépage remarquable	Appellation remarquable	Remarques 	Alsace	Armagnac	Bordeaux	Bourgogne	Champagne	Cognac	Corse	Jura	Languedoc	Loire	Provence	Rhone	Savoie	Sud-Ouest
1	Aligoté	Blanc	Bourgogne, Jura, Savoie	bourgogne, jura, savoie		2 000	23 000	8,70%			Kir	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
24	Cabernet Franc	Noir	Bordeaux, Val-de-Loire	bordeaux	Anjou, Tourraine	33 000	48 000	68,75%				FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
2	Bourboulenc	Blanc						#DIV/0!				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
3	Chardonnay	Blanc	Bourgogne, Champagne, Alsace, Jura, Val-de-Loire	bourgogne, champagne, loire, alsace	Anjou	50 600	150 000	33,73%			Fait partie des trois cépages participant à la création du Champagne	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
4	Chasselas	Blanc				1 100	35 000	3,14%		Pouilly-sur-Loire, Alsace, Crépy, Vin-de-Savoie	Cépage majoritaire en Suisse sous le nom de Frémant	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
5	Chenin	Blanc	Val-de-Loire	loire	Anjou, Touraine	9 900		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	Clairette	Blanc	Languedoc-Roussillon, Provence, Rhone	languedoc, provence, rhone			3 600	0,00%			Clairette de Die (vin pétillant composé de Muscat Blanc à 75%)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
7	Folle Blanche	Blanc				1 100		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
8	Gewurztraminer	Blanc	Alsace	alsace		3 400	8 000	42,50%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
9	Marsanne	Blanc	Rhone, Languedoc-Roussillon, Provence	rhone, languedoc, provence	Languedoc			#DIV/0!			Va bien avec le Roussanne	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
10	Mauzac	Blanc	Languedoc-Roussillon	languedoc	Tarn, Aude	1 700	2 600	65,38%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
11	Melon de Bourgogne	Blanc	Val-de-Loire	loire		9 700	28 000	34,64%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
12	Muscadelle	Blanc	Bordeaux, Sud-Ouest	bordeaux, sud-ouest			5 000	0,00%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
13	Muscat blanc	Blanc	Languedoc-Roussillon, Provence	languedoc, provence	Hérault	7 900	87 000	9,08%				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
14	Muscat d'Alexandrie	Blanc				2 700		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
15	Roussanne	Blanc	Rhone, Savoie	rhone, savoie			1 500	0,00%			Va bien avec le Marsanne	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
16	Riesling	Blanc	Alsace	alsace		4 000	60 000	6,67%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
17	Sauvignon	Blanc	Bordeaux, Sud-Ouest, Val-de-Loire	bordeaux, sud-ouest, loire		29 900	50 000	59,80%				TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
18	Savagnin	Blanc	Jura	jura				#DIV/0!				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
19	Sémillon	Blanc	Sud-Ouest, Bordeaux	sud-ouest, bordeaux		10 800	28 000	38,57%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
20	Sylvaner	Blanc	Alsace	alsace		1 100	12 000	9,17%				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
21	Ugni Blanc	Blanc	Bordeaux, Languedoc-Roussillon, Corse, Charentes, Provence	bordeaux, languedoc, corse, provence		82 200		#DIV/0!				TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
22	Vermentino	Blanc	Provence, Corse, Languedoc-Roussillon	provence, corse, languedoc		5 400	7 500	72,00%				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
23	Viognier	Blanc	Rhone	rhone		6 400	4 000	160,00%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
25	Cabernet Sauvignon	Noir	Bordeaux, Provence, Val-de-Loire	bordeaux, provence, loire		48 100	260 000	18,50%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
26	Carignan	Noir	Languedoc-Roussillon, Provence, Corse	languedoc, provence, corse	Languedoc	32 700	120 000	27,25%				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
27	Cinsault	Noir	Languedoc-Roussillon, Rhone	languedoc, rhone	Languedoc	18 200	43 000	42,33%			Fait partie des 13 cépages autorisés dans le Chateauneuf-du-pape	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
28	Cot (Malbec)	Noir	Sud-Ouest, Bordeaux, Val-de-Loire	sud-ouest, bordeaux, rhone		6 800	41 000	16,59%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
29	Duras	Noir						#DIV/0!				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
30	Fer Servadou	Noir				1 600		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
31	Gamay	Noir	Bourgogne, Beaujolais, Val-de-Loire, Sud-Ouest	bourgogne, beaujolais, loire, sud-ouest		25 700		#DIV/0!			Quasiment tout le vignoble Beaujolais est recouvert par ce cépage 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
32	Grenache Noir	Noir	Rhone, Provence, Languedoc-Roussillon	rhone, provence, languedoc		81 100	245 000	33,10%				FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
33	Merlot	Noir	Bordeaux, Languedoc-Roussiloon	bordeaux, languedoc		112 200	220 000	51,00%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
34	Mondeuse	Noir	Savoie, Jura	savoie, jura		300	300	100,00%				FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
35	Mourvèdre	Noir	Provence, Rhone	provence, rhone		9 200	87 000	10,57%				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
36	Négrette	Noir	Languedoc-Roussillon	languedoc	Tarn	1 100		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
37	Nielluccio	Noir	Corse	corse		1 800		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
38	Pinot Noir	Noir	Bourgogne, Champagne, Alsace, Loire	bourgogne, champagne, alsace, loire		32 300	63 000	51,27%			Fait partie des trois cépages participant à la création du Champagne	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
39	Syrah	Noir	Rhone, Languedoc	rhone, languedoc		64 000	50 000	128,00%				TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
40	Tannat	Noir				2 900		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
